150.00,150.00,-1.00
142.86,153.60,0.00
139.98,161.07,1.00
157.16,153.57,0.00
139.98,169.07,2.00
163.27,158.73,3.00
136.99,176.49,4.00
170.74,161.61,5.00
148.45,142.15,0.00
132.06,159.90,2.00
142.35,136.98,8.00
178.71,162.21,7.00
137.75,130.43,10.00
124.08,159.35,9.00
182.36,169.32,11.00
187.33,175.59,14.00
132.02,182.75,6.00
179.31,154.23,11.00
125.01,186.62,16.00
192.57,181.64,15.00
184.52,148.15,17.00
199.15,186.19,19.00
204.80,191.86,21.00
187.11,140.58,20.00
186.72,132.59,23.00
194.36,130.24,24.00
209.54,198.30,22.00
215.01,204.14,26.00
210.81,186.58,22.00
130.25,127.67,12.00
200.45,125.05,25.00
131.98,119.86,29.00
204.98,118.45,30.00
120.55,193.26,18.00
124.81,116.31,31.00
217.16,211.84,27.00
202.66,110.80,32.00
215.57,219.68,35.00
209.18,106.17,36.00
216.12,180.60,28.00
207.05,129.56,30.00
117.40,113.28,34.00
212.30,226.98,37.00
212.04,234.98,42.00
215.02,130.30,40.00
115.71,199.63,33.00
207.97,98.26,38.00
204.21,91.20,46.00
219.85,236.69,43.00
111.83,107.54,41.00
107.72,199.92,45.00
105.07,111.81,49.00
211.08,87.11,47.00
210.67,242.86,43.00
199.69,84.59,47.00
219.10,137.18,44.00
191.83,151.38,20.00
194.70,109.99,36.00
209.95,250.83,53.00
213.15,79.38,52.00
212.53,77.63,59.00
221.15,79.34,59.00
228.90,77.33,61.00
205.49,257.47,58.00
122.91,130.85,29.00
210.62,263.61,63.00
98.94,106.68,51.00
217.20,268.16,65.00
228.05,69.38,62.00
100.04,197.68,50.00
225.17,268.76,67.00
225.98,61.65,68.00
191.78,83.39,54.00
235.20,82.26,62.00
184.80,87.30,72.00
235.85,67.61,68.00
216.14,276.09,67.00
220.56,282.76,76.00
93.83,112.84,66.00
214.23,287.65,77.00
212.07,295.36,79.00
93.97,202.89,69.00
86.79,199.35,81.00
243.40,64.95,75.00
250.70,68.21,83.00
93.73,210.89,81.00
183.16,182.42,15.00
230.65,262.93,70.00
237.46,267.13,87.00
241.50,274.03,88.00
91.88,218.67,85.00
242.08,282.01,89.00
220.45,55.87,71.00
248.56,270.26,89.00
248.03,278.25,93.00
258.65,67.25,84.00
256.39,268.62,93.00
263.00,60.54,95.00
89.07,226.16,90.00
263.95,271.24,96.00
86.86,116.76,78.00
93.64,100.68,66.00
244.45,289.65,91.00
218.04,179.30,39.00
179.75,128.65,24.00
184.50,190.31,86.00
79.66,120.24,100.00
262.90,74.03,95.00
249.86,295.54,102.00
271.77,272.95,99.00
276.21,266.30,109.00
85.58,233.36,98.00
78.81,199.82,82.00
94.76,115.48,100.00
283.37,262.73,110.00
264.14,52.62,97.00
199.82,151.80,56.00
207.50,154.07,116.00
282.09,254.83,114.00
78.71,237.47,111.00
71.06,239.81,119.00
204.44,297.75,80.00
291.33,261.89,114.00
77.31,127.89,106.00
68.62,247.42,120.00
299.18,260.39,122.00
69.33,128.37,123.00
60.75,248.83,124.00
60.03,256.80,127.00
306.44,257.02,125.00
64.27,122.18,126.00
67.57,249.64,124.00
134.12,123.30,12.00
197.54,258.41,63.00
301.82,267.94,125.00
210.61,244.44,53.00
303.31,275.80,134.00
55.49,254.86,127.00
59.52,264.78,128.00
71.79,195.98,112.00
218.55,89.97,52.00
272.14,52.79,115.00
65.38,270.24,138.00
309.77,280.53,136.00
301.38,250.82,129.00
198.03,302.54,121.00
67.99,277.80,142.00
199.66,310.37,145.00
211.84,173.84,39.00
57.74,117.56,130.00
279.36,56.24,141.00
287.10,54.23,150.00
54.68,110.17,149.00
193.57,315.57,147.00
161.21,166.46,5.00
316.04,285.49,143.00
199.07,321.38,153.00
224.89,94.85,140.00
194.41,327.88,156.00
63.59,284.47,146.00
231.64,56.00,71.00
80.65,135.16,123.00
51.75,122.86,149.00
48.07,257.85,137.00
294.22,50.57,151.00
313.78,260.20,129.00
208.85,272.81,76.00
58.74,274.70,142.00
310.47,291.23,155.00
58.54,290.68,159.00
255.33,281.52,94.00
